id,mode,tier,group,experiment,setup,dataset,model,loss,group_n,coset_subgroup,task,optimizer,p,hidden_width,n_layers,activation,init_scale,batch_size,n_train,n_test,alpha,seed,num_clients,local_epochs,num_rounds,fraction_train,partition,dirichlet_alpha,proximal_mu,strategy,server_lr,server_momentum,tau,eval_every,checkpoint_every,epochs,log_every,momentum,lr,weight_decay,grok_threshold,t_grok,t_first_cross,t_50,t_memo,delay,post_grok_dips,final_acc,final_train_acc,peak_train_acc,final_ipr,grokked,censored,steps_run,wall_s,checkpoint_client_weights,d_mlp,feddyn_alpha,n_heads,persist_local_opt_state,track_client_drift
cent_002bcf47b251,centralized,S1,central_anchor,anchor,D,s5,groknet,ce,5,s_nm1,addition,adamw,97,256,3,quadratic,1.0,0,1000,5000,0.5,456,,,,,,,,,,,,,0,40000,100,0.0,0.001,1.0,85.0,7800,7800,1000,300,7500.0,0,99.94444847106934,100.0,100.0,nan,True,False,40000.0,83.1,,512,,4,,
cent_008bde8c6684,centralized,X,d_internals,tangent,D,s5,groknet,ce,5,s_nm1,addition,adamw,97,256,3,quadratic,1.0,0,1000,5000,0.225,1011,,,,,,,,,,,,,500,150000,25,0.0,0.001,1.0,85.0,inf,inf,23975,200,inf,0,81.23655915260315,100.0,100.0,nan,False,True,150000.0,250.5,,512,,4,,
cent_00993a079590,centralized,X,d_wd_ladder,tangent,D,s5,groknet,ce,5,s_nm1,addition,adamw,97,256,3,quadratic,1.0,0,1000,5000,0.3,123,,,,,,,,,,,,,0,40000,25,0.0,0.001,0.0,85.0,inf,inf,inf,225,inf,0,1.4980158768594265,100.0,100.0,nan,False,True,40000.0,75.2,,512,,4,,
cent_009d1e6550df,centralized,X,d_alpha_high,tangent,D,s5,groknet,ce,5,s_nm1,addition,adamw,97,256,3,quadratic,1.0,0,1000,5000,0.75,42,,,,,,,,,,,,,0,40000,100,0.0,0.001,1.0,85.0,600,600,300,300,300.0,0,100.0,100.0,100.0,nan,True,False,40000.0,113.6,,512,,4,,
cent_00b37bf30d15,centralized,X,d_internals,tangent,D,s5,groknet,ce,5,s_nm1,addition,adamw,97,256,3,quadratic,1.0,0,1000,5000,0.475,789,,,,,,,,,,,,,500,40000,25,0.0,0.001,1.0,85.0,8225,8225,1125,275,7950.0,0,99.88095164299011,100.0,100.0,nan,True,False,40000.0,250.4,,512,,4,,
cent_00ea48559025,centralized,T0,mnist_wd_band,mnist,,mnist,mlp,mse,5,s_nm1,addition,adamw,97,200,3,quadratic,9.0,200,1000,5000,0.5,456,,,,,,,,,,,,,0,20000,100,0.0,0.001,0.01,90.0,inf,inf,5100,600,inf,0,88.0799949169159,100.0,100.0,nan,False,True,20000.0,95.7,,512,,4,,
cent_010899c81daf,centralized,X,d_internals,tangent,D,s5,groknet,ce,5,s_nm1,addition,adamw,97,256,3,quadratic,1.0,0,1000,5000,0.2,456,,,,,,,,,,,,,500,150000,25,0.0,0.001,1.0,85.0,inf,inf,42850,200,inf,0,66.18055701255798,100.0,100.0,nan,False,True,150000.0,789.1,,512,,4,,
cent_013f8ef465a0,centralized,X,d_alpha_high,tangent,D,s5,groknet,ce,5,s_nm1,addition,adamw,97,256,3,quadratic,1.0,0,1000,5000,0.775,123,,,,,,,,,,,,,0,40000,100,0.0,0.001,1.0,85.0,500,500,300,300,200.0,0,100.0,99.99999403953552,99.99999403953552,nan,True,False,40000.0,122.1,,512,,4,,
cent_01c24f1e2e1e,centralized,S1,central_anchor,anchor,E,mnist,mlp,mse,5,s_nm1,addition,adamw,97,200,3,quadratic,9.0,200,4000,5000,0.5,789,,,,,,,,,,,,,0,20000,100,0.0,0.001,0.1,90.0,800,400,200,500,300.0,1,94.5199966430664,100.0,100.0,nan,True,False,20000.0,565.1,,512,,4,,
cent_03c19391c52f,centralized,S1,central_anchor,anchor,D,s5,groknet,ce,5,s_nm1,addition,adamw,97,256,3,quadratic,1.0,0,1000,5000,0.25,123,,,,,,,,,,,,,0,40000,100,0.0,0.001,1.0,85.0,32000,32000,20500,300,31700.0,0,86.129629611969,100.0,100.0,nan,True,False,40000.0,55.0,,512,,4,,
cent_052fdf80463c,centralized,S1,central_anchor,anchor,C,s5,transformer,ce,5,s_nm1,addition,adamw,97,128,3,quadratic,1.0,0,1000,5000,0.5,42,,,,,,,,,,,,,0,40000,100,0.0,0.001,1.0,85.0,19900,19900,19400,200,19700.0,0,100.0,100.0,100.0,nan,True,False,40000.0,447.1,,512,,4,,
cent_05763dcd6cbf,centralized,X,d_internals,tangent,D,s5,groknet,ce,5,s_nm1,addition,adamw,97,256,3,quadratic,1.0,0,1000,5000,0.45,42,,,,,,,,,,,,,500,40000,25,0.0,0.001,1.0,85.0,9950,9950,1450,275,9675.0,0,99.94949698448181,100.0,100.0,nan,True,False,40000.0,80.3,,512,,4,,
cent_065de18b2680,centralized,X,d_internals,tangent,D,s5,groknet,ce,5,s_nm1,addition,adamw,97,256,3,quadratic,1.0,0,1000,5000,0.6,456,,,,,,,,,,,,,500,40000,25,0.0,0.001,1.0,85.0,975,975,550,275,700.0,0,100.0,100.0,100.0,nan,True,False,40000.0,230.1,,512,,4,,
cent_074c504edec3,centralized,P1,cd_decay_band,decay,D,s5,groknet,ce,5,s_nm1,addition,adamw,97,256,3,quadratic,1.0,0,1000,5000,0.3,123,,,,,,,,,,,,,0,100000,50,0.0,0.001,0.01,85.0,inf,inf,inf,250,inf,0,1.5376984141767025,100.0,100.0,nan,False,True,100000.0,112.9,,512,,4,,
cent_07ffcfeb4273,centralized,S1b,c_alpha,gate_a,C,s5,transformer,ce,5,s_nm1,addition,adamw,97,128,3,quadratic,1.0,0,1000,5000,0.7,456,,,,,,,,,,,,,0,100000,200,0.0,0.001,1.0,85.0,18400,18400,15000,200,18200.0,0,99.79166388511658,100.0,100.0,nan,True,False,100000.0,2740.5,,512,,4,,
cent_0827afe57247,centralized,X,d_internals,tangent,D,s5,groknet,ce,5,s_nm1,addition,adamw,97,256,3,quadratic,1.0,0,1000,5000,0.225,456,,,,,,,,,,,,,500,150000,25,0.0,0.001,1.0,85.0,inf,inf,24550,200,inf,0,80.33154010772705,100.0,100.0,nan,False,True,150000.0,243.3,,512,,4,,
cent_08ea2f0f0424,centralized,S1b,c_alpha,gate_a,C,s5,transformer,ce,5,s_nm1,addition,adamw,97,128,3,quadratic,1.0,0,1000,5000,0.6,789,,,,,,,,,,,,,0,100000,200,0.0,0.001,1.0,85.0,77400,4600,4200,200,77200.0,1,100.0,100.0,100.0,nan,True,False,100000.0,2481.2,,512,,4,,
cent_0975d16d3d3c,centralized,X,d_alpha_high,tangent,D,s5,groknet,ce,5,s_nm1,addition,adamw,97,256,3,quadratic,1.0,0,1000,5000,0.975,42,,,,,,,,,,,,,0,40000,100,0.0,0.001,1.0,85.0,300,300,200,300,0.0,0,100.0,100.0,100.0,nan,True,False,40000.0,138.9,,512,,4,,
cent_0a40281899b2,centralized,S1,central_anchor,anchor,D,s5,groknet,ce,5,s_nm1,addition,adamw,97,256,3,quadratic,1.0,0,1000,5000,0.3,42,,,,,,,,,,,,,0,40000,100,0.0,0.001,1.0,85.0,20000,20000,14700,300,19700.0,0,97.02380895614624,100.0,100.0,nan,True,False,40000.0,59.3,,512,,4,,
cent_0b652c4039a6,centralized,X,d_alpha_high,tangent,D,s5,groknet,ce,5,s_nm1,addition,adamw,97,256,3,quadratic,1.0,0,1000,5000,0.725,456,,,,,,,,,,,,,0,40000,100,0.0,0.001,1.0,85.0,600,600,400,300,300.0,0,100.0,100.0,100.0,nan,True,False,40000.0,112.7,,512,,4,,
cent_0bc64de29d53,centralized,S1,central_anchor,anchor,E,mnist,mlp,mse,5,s_nm1,addition,adamw,97,200,3,quadratic,9.0,200,500,5000,0.5,789,,,,,,,,,,,,,0,20000,100,0.0,0.001,0.1,90.0,inf,inf,2800,400,inf,0,87.83999681472778,100.0,100.0,nan,False,True,20000.0,73.6,,512,,4,,
cent_0bd0bc0e5d40,centralized,P1,cd_decay_band,decay,D,s5,groknet,ce,5,s_nm1,addition,adamw,97,256,3,quadratic,1.0,0,1000,5000,0.3,456,,,,,,,,,,,,,0,100000,50,0.0,0.001,0.1,85.0,inf,inf,95800,250,inf,0,51.71626806259155,100.0,100.0,nan,False,True,100000.0,114.6,,512,,4,,
cent_0c1def10715b,centralized,S1,central_anchor,anchor,E,mnist,mlp,mse,5,s_nm1,addition,adamw,97,200,3,quadratic,9.0,200,2000,5000,0.5,789,,,,,,,,,,,,,0,20000,100,0.0,0.001,0.1,90.0,1700,1700,500,500,1200.0,0,93.99999976158142,100.0,100.0,nan,True,False,20000.0,228.2,,512,,4,,
cent_0cb2652417ca,centralized,X,d_internals,tangent,D,s5,groknet,ce,5,s_nm1,addition,adamw,97,256,3,quadratic,1.0,0,1000,5000,0.5,789,,,,,,,,,,,,,500,40000,25,0.0,0.001,1.0,85.0,7450,7450,950,275,7175.0,0,99.91666674613953,100.0,100.0,nan,True,False,40000.0,86.7,,512,,4,,
cent_0d04e1bd5de2,centralized,X,d_alpha_high,tangent,D,s5,groknet,ce,5,s_nm1,addition,adamw,97,256,3,quadratic,1.0,0,1000,5000,0.7,789,,,,,,,,,,,,,0,40000,100,0.0,0.001,1.0,85.0,600,600,400,300,300.0,0,100.0,100.0,100.0,nan,True,False,40000.0,114.1,,512,,4,,
cent_0d0f4f486566,centralized,X,d_alpha_fine,tangent,D,s5,groknet,ce,5,s_nm1,addition,adamw,97,256,3,quadratic,1.0,0,1000,5000,0.425,42,,,,,,,,,,,,,0,40000,100,0.0,0.001,1.0,85.0,10800,10800,5700,300,10500.0,0,99.73429441452026,100.0,100.0,nan,True,False,40000.0,78.3,,512,,4,,
cent_0d112e401a82,centralized,X,d_alpha_high,tangent,D,s5,groknet,ce,5,s_nm1,addition,adamw,97,256,3,quadratic,1.0,0,1000,5000,0.775,1011,,,,,,,,,,,,,0,40000,100,0.0,0.001,1.0,85.0,500,500,300,300,200.0,0,100.0,99.99999403953552,99.99999403953552,nan,True,False,40000.0,127.6,,512,,4,,
